time_iso8601,stars_cumulative
2023-07-21 00:00:00+00:00,338
2023-07-25 00:00:00+00:00,339
2023-08-04 00:00:00+00:00,341
2023-08-09 00:00:00+00:00,342
2023-08-10 00:00:00+00:00,343
2023-08-14 00:00:00+00:00,344
2023-08-16 00:00:00+00:00,345
2023-08-18 00:00:00+00:00,346
2023-08-24 00:00:00+00:00,348
2023-08-25 00:00:00+00:00,349
2023-08-30 00:00:00+00:00,350
2023-09-05 00:00:00+00:00,351
2023-09-06 00:00:00+00:00,352
2023-09-10 00:00:00+00:00,353
2023-09-11 00:00:00+00:00,354
2023-09-14 00:00:00+00:00,355
2023-09-15 00:00:00+00:00,357
2023-09-16 00:00:00+00:00,358
2023-09-17 00:00:00+00:00,361
2023-09-18 00:00:00+00:00,363
2023-09-19 00:00:00+00:00,366
2023-09-20 00:00:00+00:00,367
2023-09-21 00:00:00+00:00,368
2023-09-23 00:00:00+00:00,369
2023-09-26 00:00:00+00:00,370
2023-09-28 00:00:00+00:00,371
2023-10-01 00:00:00+00:00,372
2023-10-08 00:00:00+00:00,373
2023-10-10 00:00:00+00:00,374
2023-10-12 00:00:00+00:00,375
2023-10-17 00:00:00+00:00,376
2023-10-20 00:00:00+00:00,377
2023-10-26 00:00:00+00:00,378
2023-11-06 00:00:00+00:00,379
2023-11-08 00:00:00+00:00,380
2023-11-09 00:00:00+00:00,381
2023-11-11 00:00:00+00:00,383
2023-11-13 00:00:00+00:00,386
2023-11-20 00:00:00+00:00,387
2023-11-22 00:00:00+00:00,388
2023-11-24 00:00:00+00:00,389
2023-11-26 00:00:00+00:00,390
2023-11-27 00:00:00+00:00,392
2023-11-30 00:00:00+00:00,395
2023-12-01 00:00:00+00:00,396
2023-12-03 00:00:00+00:00,397
2023-12-04 00:00:00+00:00,398
2023-12-05 00:00:00+00:00,399
2023-12-13 00:00:00+00:00,401
2023-12-16 00:00:00+00:00,402
2023-12-18 00:00:00+00:00,403
2023-12-19 00:00:00+00:00,407
2023-12-20 00:00:00+00:00,410
2023-12-21 00:00:00+00:00,415
2023-12-22 00:00:00+00:00,418
2023-12-24 00:00:00+00:00,421
2023-12-25 00:00:00+00:00,422
2023-12-27 00:00:00+00:00,424
2023-12-28 00:00:00+00:00,427
2024-01-03 00:00:00+00:00,428
2024-01-04 00:00:00+00:00,430
2024-01-05 00:00:00+00:00,433
2024-01-08 00:00:00+00:00,436
2024-01-10 00:00:00+00:00,437
2024-01-13 00:00:00+00:00,438
