time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-06 00:00:00+00:00,1355,125,36,23
2026-02-07 00:00:00+00:00,600,125,13,5
2026-02-08 00:00:00+00:00,282,131,15,8
2026-02-09 00:00:00+00:00,704,147,36,27
2026-02-10 00:00:00+00:00,438,171,86,35
2026-02-11 00:00:00+00:00,408,161,43,28
2026-02-12 00:00:00+00:00,666,174,68,32
2026-02-13 00:00:00+00:00,386,99,21,9
2026-02-14 00:00:00+00:00,599,126,15,10
2026-02-15 00:00:00+00:00,180,121,20,13
2026-02-16 00:00:00+00:00,176,128,16,13
2026-02-17 00:00:00+00:00,273,105,39,18
2026-02-18 00:00:00+00:00,364,143,49,31
2026-02-19 00:00:00+00:00,492,135,63,25
