url_path,views_total,views_unique
/open-feature/spec,173,143
/open-feature/spec/pull/268,74,21
/open-feature/spec/tree/main/specification,55,22
/open-feature/spec/pull/269,30,9
/open-feature/spec/blob/main/specification/appendix-a-included-utilities.md,22,9
/open-feature/spec/pulls,19,8
/open-feature/spec/pull/268/files,18,8
/open-feature/spec/tree/main/tools,18,8
/open-feature/spec/pull/269/files,17,8
/open-feature/spec/blob/80ceaa0465ac17ad88856550f284a93e36a7f382/specification/sections/02-providers.md,16,2
