url_path,views_total,views_unique
/open-feature/spec,176,146
/open-feature/spec/tree/main/specification,34,12
/open-feature/spec/blob/main/specification/types.md,20,6
/open-feature/spec/blob/main/specification/sections/03-evaluation-context.md,19,5
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,13,6
/open-feature/spec/blob/main/specification/sections/04-hooks.md,12,4
/open-feature/spec/blob/main/specification/glossary.md,11,4
/open-feature/spec/blob/main/specification.json,11,3
/open-feature/spec/issues,8,6
/open-feature/spec/tree/main/specification/sections,8,4
