time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,22,6,62,30
2024-09-14 00:00:00+00:00,12,4,13,9
2024-09-15 00:00:00+00:00,5,3,5,5
2024-09-16 00:00:00+00:00,111,7,73,21
2024-09-17 00:00:00+00:00,127,6,33,15
2024-09-18 00:00:00+00:00,119,4,36,18
2024-09-19 00:00:00+00:00,69,10,88,30
2024-09-20 00:00:00+00:00,149,6,55,27
2024-09-21 00:00:00+00:00,4,3,23,9
2024-09-22 00:00:00+00:00,8,4,16,10
2024-09-23 00:00:00+00:00,134,5,39,19
2024-09-24 00:00:00+00:00,86,10,68,25
2024-09-25 00:00:00+00:00,47,15,36,19
2024-09-26 00:00:00+00:00,11,3,23,18
