referrer,views_total,views_unique
github.com,156,67
Google,28,18
openfeature.dev,12,5
cncf.io,8,5
DuckDuckGo,6,1
Bing,2,1
chatgpt.com,2,1
bytedance.larkoffice.com,1,1
com.slack,1,1
confluence.intranet.commerzbank.com,1,1
