referrer,views_total,views_unique
github.com,159,35
Google,77,22
cncf.io,14,9
openfeature.dev,9,3
cnblogs.com,8,2
Bing,8,2
opentelemetry.io,3,1
DuckDuckGo,2,2
mail.google.com,2,2
com.google.android.gm,2,1
