url_path,views_total,views_unique
/open-feature/spec,282,224
/open-feature/spec/tree/main/specification,73,24
/open-feature/spec/commits/main,32,2
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,29,11
/open-feature/spec/tree/github-repo-stats/open-feature/spec,26,6
/open-feature/spec/blob/main/specification/sections/04-hooks.md,22,6
/open-feature/spec/tree/main/specification/sections,20,9
/open-feature/spec/blob/main/specification/sections/02-providers.md,18,6
/open-feature/spec/blob/main/specification/sections/03-evaluation-context.md,17,7
/open-feature/spec/blob/main/specification/types.md,17,6
