referrer,views_total,views_unique
github.com,159,71
cncf.io,15,11
Google,12,12
DuckDuckGo,9,3
chatgpt.com,8,3
openfeature.dev,3,3
salutejazz.ru,2,2
b2607f8b0480010000069cd15ac1c6365150b000000000000000001.proxy.googlers.com,1,1
perplexity.ai,1,1
search.brave.com,1,1
