referrer,views_total,views_unique
news.ycombinator.com,435,256
github.com,177,75
cncf.io,35,14
Google,21,11
hckrnews.com,12,9
openfeature.dev,6,3
hackerweb.app,6,2
api.daily.dev,6,1
flagd.dev,5,1
contribute.cncf.io,4,2
