referrer,views_total,views_unique
github.com,151,29
Google,61,28
cncf.io,48,13
gist.github.com,19,1
DuckDuckGo,4,2
v2ex.com,4,1
contribute.cncf.io,2,2
openfeature.dev,2,1
mail.google.com,2,1
ninjavan-tech.atlassian.net,1,1
