referrer,views_total,views_unique
Google,102,30
github.com,84,20
contribute.cncf.io,11,4
cncf.io,9,9
openfeature.dev,7,2
linkedin.com,7,1
pkg.go.dev,4,1
DuckDuckGo,2,2
yandex.ru,1,1
flagsmith.com,1,1
