time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-20 00:00:00+00:00,556,51,62,23
2025-03-21 00:00:00+00:00,353,49,62,21
2025-03-22 00:00:00+00:00,50,34,3,3
2025-03-23 00:00:00+00:00,11,11,16,10
2025-03-24 00:00:00+00:00,297,80,55,20
2025-03-25 00:00:00+00:00,739,121,35,13
2025-03-26 00:00:00+00:00,114,63,26,17
2025-03-27 00:00:00+00:00,400,78,29,17
2025-03-28 00:00:00+00:00,69,29,29,12
2025-03-29 00:00:00+00:00,45,17,14,7
2025-03-30 00:00:00+00:00,33,14,17,9
2025-03-31 00:00:00+00:00,163,67,20,17
2025-04-01 00:00:00+00:00,63,30,36,20
2025-04-02 00:00:00+00:00,28,15,75,29
