time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-26 00:00:00+00:00,52,4,25,13
2024-12-27 00:00:00+00:00,793,8,26,15
2024-12-28 00:00:00+00:00,2,1,9,5
2024-12-29 00:00:00+00:00,253,8,3,3
2024-12-30 00:00:00+00:00,1035,6,19,12
2024-12-31 00:00:00+00:00,65,1,11,10
2025-01-01 00:00:00+00:00,11,3,12,6
2025-01-02 00:00:00+00:00,147,13,136,15
2025-01-03 00:00:00+00:00,100,10,32,17
2025-01-04 00:00:00+00:00,103,3,12,8
2025-01-05 00:00:00+00:00,53,4,8,7
2025-01-06 00:00:00+00:00,142,10,57,27
2025-01-07 00:00:00+00:00,593,4,44,17
2025-01-08 00:00:00+00:00,501,7,21,17
