referrer,views_total,views_unique
github.com,133,35
Google,71,22
cncf.io,15,10
openfeature.dev,8,3
cnblogs.com,8,2
Bing,7,2
opentelemetry.io,3,1
DuckDuckGo,2,2
goodfirstissues.com,2,1
open-feature.github.io,1,1
