url_path,views_total,views_unique
/open-feature/spec,206,179
/open-feature/spec/tree/main/specification,53,20
/open-feature/spec/tree/main/tools,19,7
/open-feature/spec/blob/main/specification/types.md,13,4
/open-feature/spec/blob/main/specification/glossary.md,10,4
/open-feature/spec/issues,8,8
/open-feature/spec/tree/main/specification/sections,8,2
/open-feature/spec/tree/main/specification/assets,7,3
/open-feature/spec/tree/main/tools/specification_parser,7,3
/open-feature/spec/issues/237,6,5
