referrer,views_total,views_unique
github.com,124,51
Google,56,24
openfeature.dev,9,5
Bing,7,2
cncf.io,5,5
com.slack,2,1
open-feature.github.io,2,1
DuckDuckGo,1,1
chatgpt.com,1,1
link.gitcode.com,1,1
