referrer,views_total,views_unique
github.com,93,27
Google,28,23
Bing,13,1
chatgpt.com,11,4
cncf.io,7,7
DuckDuckGo,7,2
com.google.android.gm,4,1
openfeature.dev,3,2
contribute.cncf.io,2,2
news.ycombinator.com,2,1
