time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-14 00:00:00+00:00,85,5,45,21
2024-10-15 00:00:00+00:00,81,4,35,22
2024-10-16 00:00:00+00:00,224,5,31,21
2024-10-17 00:00:00+00:00,142,6,96,25
2024-10-18 00:00:00+00:00,838,4,55,17
2024-10-19 00:00:00+00:00,248,2,7,3
2024-10-20 00:00:00+00:00,9,5,18,11
2024-10-21 00:00:00+00:00,68,11,82,31
2024-10-22 00:00:00+00:00,127,10,53,27
2024-10-23 00:00:00+00:00,248,5,38,25
2024-10-24 00:00:00+00:00,35,7,47,22
2024-10-25 00:00:00+00:00,81,6,708,412
2024-10-26 00:00:00+00:00,46,3,72,40
2024-10-27 00:00:00+00:00,26,2,37,24
