referrer,views_total,views_unique
github.com,61,27
Google,31,23
cncf.io,16,11
Baidu,11,10
openfeature.dev,9,5
Bing,4,1
chat.mistral.ai,1,1
chatgpt.com,1,1
cnblogs.com,1,1
com.slack,1,1
