time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-02 00:00:00+00:00,19,3,32,15
2024-10-03 00:00:00+00:00,166,10,75,24
2024-10-04 00:00:00+00:00,244,10,75,19
2024-10-05 00:00:00+00:00,6,3,17,12
2024-10-06 00:00:00+00:00,3,2,24,11
2024-10-07 00:00:00+00:00,57,7,84,28
2024-10-08 00:00:00+00:00,27,2,61,29
2024-10-09 00:00:00+00:00,172,11,33,20
2024-10-10 00:00:00+00:00,43,3,38,22
2024-10-11 00:00:00+00:00,24,4,42,25
2024-10-12 00:00:00+00:00,6,4,12,6
2024-10-13 00:00:00+00:00,8,3,13,5
2024-10-14 00:00:00+00:00,85,5,45,21
2024-10-15 00:00:00+00:00,76,3,35,22
