referrer,views_total,views_unique
github.com,191,92
Google,35,12
openfeature.dev,15,4
cncf.io,8,7
DuckDuckGo,7,1
Bing,3,1
npmjs.com,1,1
statics.teams.cdn.office.net,1,1
