url_path,views_total,views_unique
/open-feature/spec,243,194
/open-feature/spec/tree/main/specification,77,25
/open-feature/spec/blob/main/specification/sections/02-providers.md,20,4
/open-feature/spec/tree/main/tools/specification_parser,18,7
/open-feature/spec/issues,15,12
/open-feature/spec/blob/main/specification/glossary.md,14,2
/open-feature/spec/tree/main/specification/sections,12,4
/open-feature/spec/blob/main/specification/sections/04-hooks.md,11,4
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,9,4
/open-feature/spec/tree/main/specification/assets,9,3
