referrer,views_total,views_unique
github.com,138,69
Google,23,9
cncf.io,7,7
Bing,4,2
chatgpt.com,3,3
openfeature.dev,3,3
safe.menlosecurity.com,3,1
hn.algolia.com,2,1
Baidu,1,1
b2607f8b04800100000eea3eeac1c7b8e150b000000000000000001.proxy.googlers.com,1,1
