referrer,views_total,views_unique
github.com,103,27
Google,41,16
cncf.io,12,10
open-feature.github.io,9,2
abema.esa.io,6,1
ecosia.org,5,2
yandex.ru,3,1
DuckDuckGo,2,2
news.ycombinator.com,2,1
api.daily.dev,2,1
