url_path,views_total,views_unique
/open-feature/spec,258,203
/open-feature/spec/tree/main/specification,73,27
/open-feature/spec/commits/main,34,3
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,25,10
/open-feature/spec/blob/main/specification/types.md,20,8
/open-feature/spec/blob/main/specification/sections/02-providers.md,20,6
/open-feature/spec/pulls,19,8
/open-feature/spec/issues,16,9
/open-feature/spec/tree/main/specification/sections,13,5
/open-feature/spec/issues/180,12,9
