referrer,views_total,views_unique
github.com,66,27
Google,38,19
cncf.io,26,16
openfeature.dev,4,3
chatgpt.com,4,2
contribute.cncf.io,2,2
Yahoo,2,1
open-feature.github.io,1,1
euc-word-edit.officeapps.live.com,1,1
