referrer,views_total,views_unique
github.com,189,79
Google,35,20
claude.ai,13,1
openfeature.dev,12,6
cncf.io,10,7
chatgpt.com,3,2
Bing,1,1
DuckDuckGo,1,1
cnblogs.com,1,1
context7.com,1,1
