referrer,views_total,views_unique
github.com,293,31
Google,34,21
cncf.io,14,13
wenote.huawei.com,10,1
openfeature.dev,5,3
contribute.cncf.io,2,1
open-feature.github.io,1,1
com.google.android.gm,1,1
landscape.cncf.io,1,1
