referrer,views_total,views_unique
github.com,98,28
Google,31,22
openfeature.dev,11,5
cncf.io,7,7
chatgpt.com,5,2
dt-rnd.atlassian.net,5,1
contribute.cncf.io,4,4
DuckDuckGo,3,2
news.ycombinator.com,2,2
ecosia.org,1,1
