referrer,views_total,views_unique
github.com,51,27
Google,34,16
cncf.io,11,10
openfeature.dev,7,4
Yahoo,7,1
api.daily.dev,5,5
future-architect.github.io,3,1
news.ycombinator.com,2,1
yandex.ru,2,1
contribute.cncf.io,2,1
