url_path,views_total,views_unique
/open-feature/spec,179,155
/open-feature/spec/pull/293,37,2
/open-feature/spec/tree/main/specification,24,17
/open-feature/spec/issues,18,9
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,11,7
/open-feature/spec/blob/main/specification/glossary.md,9,6
/open-feature/spec/blob/main/specification/types.md,7,6
/open-feature/spec/tree/main/tools,7,6
/open-feature/spec/releases/tag/v0.7.0,6,6
/open-feature/spec/blob/main/specification/sections/04-hooks.md,6,5
