time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-01 00:00:00+00:00,108,90,30,14
2026-03-02 00:00:00+00:00,322,85,49,20
2026-03-03 00:00:00+00:00,213,105,42,21
2026-03-04 00:00:00+00:00,798,85,58,32
2026-03-05 00:00:00+00:00,259,63,27,19
2026-03-06 00:00:00+00:00,194,58,27,19
2026-03-07 00:00:00+00:00,139,83,11,10
2026-03-08 00:00:00+00:00,488,154,7,4
2026-03-09 00:00:00+00:00,916,191,54,25
2026-03-10 00:00:00+00:00,489,211,46,23
2026-03-11 00:00:00+00:00,1603,90,39,23
2026-03-12 00:00:00+00:00,374,171,56,29
2026-03-13 00:00:00+00:00,307,50,60,29
2026-03-14 00:00:00+00:00,328,58,31,12
