time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,50,29,15,11
2025-12-28 00:00:00+00:00,141,66,29,13
2025-12-29 00:00:00+00:00,187,95,62,16
2025-12-30 00:00:00+00:00,157,112,24,13
2025-12-31 00:00:00+00:00,161,106,11,8
2026-01-01 00:00:00+00:00,71,42,18,7
2026-01-02 00:00:00+00:00,423,44,17,9
2026-01-03 00:00:00+00:00,64,41,8,7
2026-01-04 00:00:00+00:00,103,87,11,8
2026-01-05 00:00:00+00:00,322,114,39,23
2026-01-06 00:00:00+00:00,302,86,73,22
2026-01-07 00:00:00+00:00,268,110,39,22
2026-01-08 00:00:00+00:00,441,100,40,28
2026-01-09 00:00:00+00:00,223,53,21,16
