referrer,views_total,views_unique
github.com,129,15
Google,26,17
cncf.io,11,7
contribute.cncf.io,10,3
openfeature.dev,9,4
creators.bengo4.com,4,1
news.ycombinator.com,1,1
future-architect.github.io,1,1
