time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-12 00:00:00+00:00,23,4,45,23
2024-08-13 00:00:00+00:00,105,7,47,25
2024-08-14 00:00:00+00:00,477,4,43,14
2024-08-15 00:00:00+00:00,170,4,34,18
2024-08-16 00:00:00+00:00,22,3,34,19
2024-08-17 00:00:00+00:00,4,2,10,7
2024-08-18 00:00:00+00:00,10,5,5,5
2024-08-19 00:00:00+00:00,62,3,47,22
2024-08-20 00:00:00+00:00,355,4,95,20
2024-08-21 00:00:00+00:00,239,4,37,15
2024-08-22 00:00:00+00:00,517,8,56,23
2024-08-23 00:00:00+00:00,44,3,23,21
2024-08-24 00:00:00+00:00,12,3,8,6
2024-08-25 00:00:00+00:00,7,3,7,6
