referrer,views_total,views_unique
github.com,124,65
Google,8,8
DuckDuckGo,8,2
cncf.io,7,7
openfeature.dev,3,3
chatgpt.com,2,1
b2607f8b0480010000069cd15ac1c6365150b000000000000000001.proxy.googlers.com,1,1
perplexity.ai,1,1
search.brave.com,1,1
