referrer,views_total,views_unique
github.com,113,24
Google,31,16
cncf.io,15,13
unduck.link,5,1
contribute.cncf.io,4,2
dt-rnd.atlassian.net,3,2
openfeature.dev,3,2
yandex.ru,2,2
mail.google.com,2,1
translate.google.com,2,1
