time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,266,80,54,29
2025-02-28 00:00:00+00:00,147,34,47,28
2025-03-01 00:00:00+00:00,67,49,13,10
2025-03-02 00:00:00+00:00,15,12,13,9
2025-03-03 00:00:00+00:00,127,77,45,23
2025-03-04 00:00:00+00:00,420,58,51,34
2025-03-05 00:00:00+00:00,356,181,58,34
2025-03-06 00:00:00+00:00,396,137,103,34
2025-03-07 00:00:00+00:00,239,36,57,26
2025-03-08 00:00:00+00:00,130,48,10,6
2025-03-09 00:00:00+00:00,21,14,6,6
2025-03-10 00:00:00+00:00,199,66,35,23
2025-03-11 00:00:00+00:00,129,33,38,19
2025-03-12 00:00:00+00:00,886,70,31,20
