time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-19 00:00:00+00:00,96,8,67,42
2024-12-20 00:00:00+00:00,42,7,53,19
2024-12-21 00:00:00+00:00,45,3,7,5
2024-12-22 00:00:00+00:00,279,6,12,9
2024-12-23 00:00:00+00:00,123,5,41,23
2024-12-24 00:00:00+00:00,164,4,38,18
2024-12-25 00:00:00+00:00,66,3,13,11
2024-12-26 00:00:00+00:00,52,4,25,13
2024-12-27 00:00:00+00:00,793,8,26,15
2024-12-28 00:00:00+00:00,2,1,9,5
2024-12-29 00:00:00+00:00,253,8,3,3
2024-12-30 00:00:00+00:00,1035,6,19,12
2024-12-31 00:00:00+00:00,65,1,11,10
2025-01-01 00:00:00+00:00,8,1,11,5
