referrer,views_total,views_unique
github.com,150,32
Google,41,15
Bing,20,2
cncf.io,17,13
goodfirstissues.com,9,4
com.google.android.gm,5,1
leaddev.com,2,1
chatgpt.com,1,1
landscape.cncf.io,1,1
yandex.ru,1,1
