time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,359,199,53,29
2026-07-17 00:00:00+00:00,421,133,34,26
2026-07-18 00:00:00+00:00,786,307,10,10
2026-07-19 00:00:00+00:00,375,123,9,7
2026-07-20 00:00:00+00:00,541,119,33,20
2026-07-21 00:00:00+00:00,599,188,24,14
2026-07-22 00:00:00+00:00,295,157,52,25
2026-07-23 00:00:00+00:00,299,131,24,23
2026-07-24 00:00:00+00:00,617,207,82,27
2026-07-25 00:00:00+00:00,467,237,32,25
2026-07-26 00:00:00+00:00,783,313,30,17
2026-07-27 00:00:00+00:00,1370,377,51,16
2026-07-28 00:00:00+00:00,3113,380,16,13
2026-07-29 00:00:00+00:00,656,265,39,20
