referrer,views_total,views_unique
github.com,86,26
Google,38,22
cncf.io,10,8
chatgpt.com,4,3
flagd.dev,4,1
openfeature.dev,3,3
contribute.cncf.io,3,1
search.brave.com,3,1
github.bus.zalan.do,2,1
rubygems.org,1,1
