url_path,views_total,views_unique
/open-feature/spec,237,184
/open-feature/spec/tree/main/specification,86,30
/open-feature/spec/pull/260,86,14
/open-feature/spec/pull/260/files,36,13
/open-feature/spec/blob/main/specification/glossary.md,24,10
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,23,7
/open-feature/spec/pull/254,21,7
/open-feature/spec/tree/main/specification/sections,19,8
/open-feature/spec/pulls,16,9
/open-feature/spec/blob/main/specification/sections/02-providers.md,16,7
