time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-14 00:00:00+00:00,337,83,62,29
2025-04-15 00:00:00+00:00,184,54,32,21
2025-04-16 00:00:00+00:00,321,73,34,20
2025-04-17 00:00:00+00:00,120,29,28,18
2025-04-18 00:00:00+00:00,97,27,37,12
2025-04-19 00:00:00+00:00,16,11,24,13
2025-04-20 00:00:00+00:00,18,12,20,13
2025-04-21 00:00:00+00:00,391,20,38,20
2025-04-22 00:00:00+00:00,330,114,53,22
2025-04-23 00:00:00+00:00,868,200,63,26
2025-04-24 00:00:00+00:00,761,457,99,35
2025-04-25 00:00:00+00:00,487,237,64,26
2025-04-26 00:00:00+00:00,36,21,9,6
2025-04-27 00:00:00+00:00,90,28,19,14
