url_path,views_total,views_unique
/open-feature/spec,193,148
/open-feature/spec/issues,27,11
/open-feature/spec/discussions/categories/ideas,20,20
/open-feature/spec/tree/main/specification,18,15
/open-feature/spec/pulls,17,9
/open-feature/spec/pull/419,15,7
/open-feature/spec/blob/main/specification/sections/04-hooks.md,14,4
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,11,8
/open-feature/spec/blob/main/research/api-comparision.md,10,10
/open-feature/spec/blob/main/research/existing-landscape.md,10,10
