time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,1016,278,61,24
2026-09-09 00:00:00+00:00,340,237,73,32
2026-09-10 00:00:00+00:00,337,151,104,35
2026-09-11 00:00:00+00:00,4942,328,87,19
2026-09-12 00:00:00+00:00,3740,276,43,31
2026-09-13 00:00:00+00:00,4638,275,51,27
2026-09-14 00:00:00+00:00,2491,250,71,23
2026-09-15 00:00:00+00:00,1638,375,62,29
2026-09-16 00:00:00+00:00,1873,184,73,33
2026-09-17 00:00:00+00:00,535,165,53,28
2026-09-18 00:00:00+00:00,1862,306,50,25
2026-09-19 00:00:00+00:00,595,146,15,8
2026-09-20 00:00:00+00:00,347,146,21,13
2026-09-21 00:00:00+00:00,1172,299,64,31
