url_path,views_total,views_unique
/open-feature/spec,189,165
/open-feature/spec/tree/main/specification,76,26
/open-feature/spec/pull/268,64,20
/open-feature/spec/blob/main/specification/appendix-a-included-utilities.md,26,11
/open-feature/spec/pull/269,20,7
/open-feature/spec/tree/main/tools,19,8
/open-feature/spec/blob/main/specification/glossary.md,18,7
/open-feature/spec/pull/268/files,17,8
/open-feature/spec/blob/80ceaa0465ac17ad88856550f284a93e36a7f382/specification/sections/02-providers.md,16,2
/open-feature/spec/blob/main/specification/types.md,15,5
