referrer,views_total,views_unique
Google,56,26
github.com,47,25
openfeature.dev,12,2
cncf.io,11,8
contribute.cncf.io,6,4
future-architect.github.io,2,1
DuckDuckGo,1,1
flagd.dev,1,1
