referrer,views_total,views_unique
github.com,66,21
Google,39,26
cncf.io,8,6
flagd.dev,8,2
contribute.cncf.io,6,3
openfeature.dev,5,3
statics.teams.cdn.office.net,4,2
github.dev,2,1
qwant.com,2,1
Bing,1,1
