time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-09 00:00:00+00:00,21,4,13,8
2024-11-10 00:00:00+00:00,75,6,12,10
2024-11-11 00:00:00+00:00,153,7,33,17
2024-11-12 00:00:00+00:00,19,7,43,25
2024-11-13 00:00:00+00:00,48,4,21,17
2024-11-14 00:00:00+00:00,154,4,27,19
2024-11-15 00:00:00+00:00,36,3,52,26
2024-11-16 00:00:00+00:00,5,3,15,11
2024-11-17 00:00:00+00:00,86,3,16,11
2024-11-18 00:00:00+00:00,169,4,37,21
2024-11-19 00:00:00+00:00,62,3,34,23
2024-11-20 00:00:00+00:00,58,4,24,21
2024-11-21 00:00:00+00:00,125,6,79,29
2024-11-22 00:00:00+00:00,130,5,45,21
