referrer,views_total,views_unique
github.com,88,32
Google,53,22
openfeature.dev,9,5
Yahoo,7,1
cncf.io,6,6
api.daily.dev,6,6
contribute.cncf.io,3,2
com.google.android.gm,3,1
cnblogs.com,2,2
statics.teams.cdn.office.net,2,2
