url_path,views_total,views_unique
/open-feature/spec,228,184
/open-feature/spec/tree/main/specification,30,12
/open-feature/spec/issues,23,13
/open-feature/spec/pull/260,21,7
/open-feature/spec/pull/260/files,20,10
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,13,4
/open-feature/spec/blob/9a80acf637827bc7a1286085cbce8862a286d7d5/specification/sections/01-flag-evaluation.md,13,2
/open-feature/spec/blob/main/specification/types.md,10,4
/open-feature/spec/pull/261,9,4
/open-feature/spec/blob/main/specification/glossary.md,8,3
