time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,418,130,30,22
2026-05-14 00:00:00+00:00,132,82,16,13
2026-05-15 00:00:00+00:00,385,117,18,15
2026-05-16 00:00:00+00:00,625,128,20,19
2026-05-17 00:00:00+00:00,511,152,32,18
2026-05-18 00:00:00+00:00,193,102,76,23
2026-05-19 00:00:00+00:00,336,120,21,16
2026-05-20 00:00:00+00:00,530,134,21,16
2026-05-21 00:00:00+00:00,413,146,23,18
2026-05-22 00:00:00+00:00,473,134,32,18
2026-05-23 00:00:00+00:00,626,188,13,8
2026-05-24 00:00:00+00:00,410,142,16,14
2026-05-25 00:00:00+00:00,520,81,59,18
2026-05-26 00:00:00+00:00,539,164,34,17
