referrer,views_total,views_unique
github.com,133,29
Google,43,15
Bing,22,3
cncf.io,15,11
open-feature.github.io,5,2
com.google.android.gm,5,1
leaddev.com,2,1
goodfirstissues.com,1,1
landscape.cncf.io,1,1
yandex.ru,1,1
