url_path,views_total,views_unique
/open-feature/spec,214,168
/open-feature/spec/pull/260,73,14
/open-feature/spec/tree/main/specification,62,23
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,25,8
/open-feature/spec/blob/main/specification/glossary.md,24,10
/open-feature/spec/pull/260/files,20,7
/open-feature/spec/pulls,15,7
/open-feature/spec/blob/9a80acf637827bc7a1286085cbce8862a286d7d5/specification/sections/01-flag-evaluation.md,13,2
/open-feature/spec/blob/main/specification/types.md,12,6
/open-feature/spec/blob/main/specification/sections/02-providers.md,12,5
