referrer,views_total,views_unique
news.ycombinator.com,434,255
github.com,189,77
cncf.io,38,18
Google,30,17
hckrnews.com,12,9
openfeature.dev,10,7
hackerweb.app,6,2
flagd.dev,5,1
contribute.cncf.io,4,2
yandex.ru,4,1
