referrer,views_total,views_unique
github.com,138,29
Google,36,15
cncf.io,11,7
statics.teams.cdn.office.net,7,3
contribute.cncf.io,5,4
Bing,2,2
cnblogs.com,1,1
mail.google.com,1,1
open-feature.github.io,1,1
