url_path,views_total,views_unique
/open-feature/spec,198,157
/open-feature/spec/tree/main/specification,20,17
/open-feature/spec/issues,13,11
/open-feature/spec/issues/359,12,7
/open-feature/spec/pulls,11,7
/open-feature/spec/tree/e33a15e92bd0e45f0de087e7e55ee7e87f952c29,9,2
/open-feature/spec/releases/tag/v0.8.0,8,8
/open-feature/spec/blob/main/specification/glossary.md,8,7
/open-feature/spec/tree/main/specification/assets/gherkin,8,5
/open-feature/spec/blob/main/specification/sections/02-providers.md,6,3
