url_path,views_total,views_unique
/open-feature/spec,184,155
/open-feature/spec/pull/306,44,19
/open-feature/spec/tree/main/specification,33,27
/open-feature/spec/pull/306/files,15,10
/open-feature/spec/issues,15,5
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,9,7
/open-feature/spec/pulls,9,2
/open-feature/spec/blob/main/specification/types.md,7,6
/open-feature/spec/blob/main/specification/appendix-a-included-utilities.md,6,6
/open-feature/spec/blob/main/specification/glossary.md,6,4
