time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-29 00:00:00+00:00,7,3,18,14
2024-09-30 00:00:00+00:00,56,8,27,17
2024-10-01 00:00:00+00:00,48,6,74,31
2024-10-02 00:00:00+00:00,19,3,32,15
2024-10-03 00:00:00+00:00,166,10,75,24
2024-10-04 00:00:00+00:00,244,10,75,19
2024-10-05 00:00:00+00:00,6,3,17,12
2024-10-06 00:00:00+00:00,3,2,24,11
2024-10-07 00:00:00+00:00,57,7,84,28
2024-10-08 00:00:00+00:00,27,2,61,29
2024-10-09 00:00:00+00:00,172,11,33,20
2024-10-10 00:00:00+00:00,43,3,38,22
2024-10-11 00:00:00+00:00,24,4,42,25
2024-10-12 00:00:00+00:00,5,3,12,6
