url_path,views_total,views_unique
/open-feature/spec,196,152
/open-feature/spec/commit/cd99c3560a68c1810971be19b87ea803fb9b0b3a,46,19
/open-feature/spec/issues/276,41,8
/open-feature/spec/tree/main/specification,34,24
/open-feature/spec/pulls,16,9
/open-feature/spec/blob/main/specification/sections/02-providers.md,15,11
/open-feature/spec/blob/main/specification/glossary.md,14,10
/open-feature/spec/pull/268,11,9
/open-feature/spec/issues,11,8
/open-feature/spec/blob/main/specification/sections/03-evaluation-context.md,10,7
