referrer,views_total,views_unique
github.com,68,30
Google,57,24
cncf.io,9,9
openfeature.dev,8,5
api.daily.dev,7,7
Yahoo,7,1
future-architect.github.io,3,1
statics.teams.cdn.office.net,2,2
cnblogs.com,2,2
m.youtube.com,2,1
