url_path,views_total,views_unique
/open-feature/spec,193,159
/open-feature/spec/tree/main/specification,34,26
/open-feature/spec/pull/299,27,2
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,14,11
/open-feature/spec/blob/main/specification/types.md,14,7
/open-feature/spec/blob/main/specification/sections/02-providers.md,11,6
/open-feature/spec/issues,9,7
/open-feature/spec/releases/tag/v0.8.0,7,7
/open-feature/spec/pulls,7,5
/open-feature/spec/tree/main/specification/sections,7,4
